エントリー,日付,引っかかり（具体的な30秒）,なぜ引っかかったのか,関連概念,次に試すこと,備考
39,46178,タイ「虹の学校」（無国籍の山岳民族・難民の子ら、4〜22歳）とオンライン交流。物質的には日本が豊かと感じたが、子らは終始楽しそうで「可哀想ではない」と思った。可哀想と決めつけ評価するのは外部の視線であり、比べること自体が豊かでない。豊かさとはモノではなく、自分の環境をおもしろがり、他者の存在も受け入れおもしろがれること。,「日本は豊か」という反射的評価を自分で否定し、評価する側の構えそのものへ問いを上げた瞬間に、自分の価値観の核（being的豊かさ／違いの扱い方）が露わになったから。,ケイパビリティ・アプローチ（セン）／autotelic personality（チクセントミハイ）／adaptive preference（エルスター）／having vs being（Day10）／比較から降りる（Day31）／eudaimonic（Day27）,違いが目に入ったとき（消せない）、それを「可哀想」という下に見る方向に変換せず、「自分たちは豊かやな」という足元を味わう方向に変換する。違い→憐れみ ではなく 違い→実感 への置き換えを意識する。,当初「誇る」と書いたが、これは「実感する・味わう」の意。見せつけ・外向きの比較ではなく、内向きの足元の再発見。比較を消すのではなく、不可避な違いをどう扱うか（下に見る燃料か／味わう燃料か）が論点だと、振り返りで明確化された。
40,46179,スクールで子どもの探究をサポート中、予定で途中退出。「もっとサポートしたかった」気持ちが残った。同じ日、つけ麺を並盛にしたら美味しく、大盛でもよかったと思った。この「気持ち残り」のむずむずは、「気持ち余り（やりすぎ）」よりは幸せ。完璧なバランスは難しく、人は精密さを追い求めるが完璧主義は危険。「まあこういうもんやな」という割り切りが何事にも大事。そして気持ちの切り替えこそ重要で、引きずると次の行動が形だけになる。切り替えのトリガーとして「3秒深呼吸」を今日から始める。,重さの違う二つの経験（教育とつけ麺）を「気持ち残り」という同じ構造で括り、そこから割り切りと切り替えという普遍的な態度設計へ抽象化できたから。さらに思想で止めず具体的な実装（3秒深呼吸）まで落とした。,satisficing（サイモン）／maximizer vs satisficer（シュワルツ）／peak-end rule・記憶する自己（カーネマン）／構成的悔やみvs道具的後悔（Day13）／刺激と反応の間のスペース（Day4）／Tiny Habits（Day16）,3秒深呼吸を「割り切り」と「切り替え」の二点セットに拡張する。深呼吸（注意を今へ切り替える）＋一言の呪文（「これで十分」と認知を割り切る）。既存トリガー（場を抜けるとき・店を出るとき等）に紐づけてTiny Habit化する。,「気持ち残り＞気持ち余り」は普遍法則ではなく今日の立ち位置（足りない側）からの風景の可能性。教育では「サポートしすぎ」が自律を奪う毒になりうるので、自分の事業の核と照らすと、どちらがマシかは文脈依存。
41,46179,人はモチベが高まらないと生産性高く動けない。自分はその源泉が好奇心駆動（知りたいより「気づく・感じる」）だと思っていた。しかし「誰かのため」も大きな引き金で、父・母・妻・子という家族が大きなウェイトを占め、だからこそ動ける面がある。この2つに相違があるときは必ずしもモチベ向上につながらない。だから2つがしっかり交わって両方が高まるキャリア設計をしたい。,「自分は好奇心駆動」という完成したと思っていた自己理解に、「誰かのため」という第二の動機を発見し、モデルを更新した瞬間だから。発見で止めず、両動機の統合というキャリア設計の課題まで定式化した。,intrinsic motivation／identified regulation（デシ＆ライアン）／otherish giver（グラント）／life themes（サビカス）／core trait・free trait（Day26-27）／cross-pressures（Day34）,「家族のため」が好奇心を支える形で効いているか、押しのける形で効いているかを観察する。両者を並列エンジンと見るか、好奇心を家族という文脈に接地させる直列構造と見るか、実感に照らして検証する。,「相違があるとモチベが上がらない」は一面の真理だが、相違（cross-pressures）こそ集中や健全さの証である可能性も。統合しすぎると緊張を失い痩せるリスク。また「家族のため」が強すぎると、転換したかったグリット型努力観に逆戻りするリスクも観察対象。
42,46180,やることを決めて実行→修正点が見つかり改良→目的を見失いかけ→ゼロベースで再計画→実行するとリアクションが違いやり方を変える、というループの中にいる。よりよくなっているはずだが、整わない・安定しない。それでも軸足は地についていて、フロー体験もしている気がする。毎日考えることだらけで大変だが、おもしろみもある。矛盾だらけの人生だが、いい傾向だと感じる。,特定の出来事ではなく「今の自分の状態そのもの」を俯瞰し、整わなさと安定（軸足）という矛盾した二つを、嘆きでなく肯定の余韻で受け止められたから。動き続けながらぶれない状態に気づいた。,build-measure-learn・pivot（リース）／動的平衡（福岡伸一）／negative capability（Day30）／core trait・free trait（Day26-27）／focused vs diffuse mode（Day25）／durée（Day32）,「だろうが」「気がする」という保留の語尾に注目する。ゼロベースに戻る前に「これは改良か、それとも完成からの逃走か」を一度問う。よりよくなった実感が伴っているかをチェックし、不安駆動の手いじりと区別する。,pivotの本質は「軸足が地についているからもう片足を振れる」こと。「軸足は地に」という自分の言葉は変化の前提条件を言い当てている。一方「フローしている気がする」とメタ認知できる時点で、フローの渦中ではなく境界をうろついている可能性。
43,46182,相手の満足度を気にしすぎると勝手にハードルが上がり動けなくなる。だがこれは感情や自信の問題ではなく、淡々とした「基準の不在」の問題。自己評価のためにも他者満足のためにも、達成/未達を判定する基準点が無い。基準を先に定めれば上下で判断でき、不足か達成かがわかる。その設定の仕方がわからない。気遣いしすぎな人、発表やものづくりから逃げる子どもも、一見自信のなさに見えて本質は基準の不在では。先人はどう処理したか、基準を作るAIを作ればいいのか。,「動けなさ」を感情・自信の問題と誤読しかけたが、本質は判断のための評価基準（ものさし）が無いという乾いた構造問題だと掘り当てたから。子どもの「逃げ」も同じ構造で読み直せた。,目標設定理論（ロック）／aspiration level・要求水準（サイモン）／フランクリンの十三徳／ドラッカーのフィードバック分析／satisficing（エントリ40）／心が動くかの自分軸（Day38）,判断の瞬間に基準を作らず、事前に・冷静なときに・書いて固定する（フランクリン/ドラッカー式）。基準は絶対の正解ではなく「仮の杭」として置き、build-measure-learnで更新する。基準を作るAIは「叩き台・問いを出す」役までとし、決めるのは本人、と線引きする。,自分軸には情動的基準（Day38「心が動くか」）と認知的・測定可能な基準（今日）の二系統がある。基準の固定は手段の目的化リスク（Day28）と背中合わせ。基準を外注すると「基準を作る力」が育たないジレンマ＝自分の教育事業の核と直結。
44,46182,SpaceXのIPO公募株が頭を離れず、抽選応募して「夢の宝くじを買う」気分に。買えなければ残念、買えて下がれば保有、上がれば万々歳、とシナリオを想定すれば感情は動かないと思っているが実際どうか。なぜ予想するだけでこんなに感情が動くのか。これこそ人間たらしめるもの。投資とギャンブルは違うと思いつつ、ギャンブルも人間らしさであり、AIロボット社会になればギャンブル性が人間らしさとして浮き彫りになるかもしれない。,IPO抽選という当事者の高揚の渦中にいながら、その感情を「なぜ動くのか」と標本にして観察し、さらにAI時代の人間性論にまで接続した、二重の視点が立ち上がったから。,報酬予測誤差（Schultz1997）／不確実性とドーパミン（Berns2001）／制御幻想（Langer1975）／プレコミットメント／negative capability（Day30）／durée（Day32）／好奇心駆動キャリア理論の「右側」,「シナリオを想定すれば冷静でいられる」という仮説を金曜の結果で検証する。想定が感情の鎮静剤として効くのか、逆に予測の快の燃料になっているのかを観察する。「投資家の自分」と「ギャンブラーの自分」の両方が居ることを認める。,ドーパミンは報酬より「予測」に反応し、不確実性が解消されると快は消える。ゆえに当選発表はワクワクのピークでなく終わり。「ギャンブル性＝効率上は非合理なのにやめられない＝AIに残る人間性の右側」という洞察は、YononakaのAIロボット社会シリーズの問いとして強い。
45,46183,誰かと喧嘩したり、うまくいかずイライラしたり、感情が湧いて視野が狭くなってしまったら、壮大な気持ちになれるよう、壮大な時間・空間を描けばいい。,感情を直接抑えるのではなく、感情が乗っている土台（視野）のスケールを時間的・空間的に引き伸ばすことで相対的に小さくする、という間接的で賢い対処法を一行の箴言に結晶させたから。感情＝視野の収縮、と定義し処方箋と対応させている。,"view from above・俯瞰からの眺め（マルクス・アウレリウス）／self-distancing（Kross & Ayduk）／awe・small self（Keltner & Haidt, Piff）／刺激と反応の間のスペース（Day4）／嫌悪は価値観の照明（Day3）",3秒深呼吸（エントリ40）とセットにする二段ロケット化：深呼吸で前頭前野を戻す→壮大なスケールを描く。さらに、引いて終わりにせず、視野を広げたあとに一度ズームインし直し「この怒りは何を教えてくれていたか」を拾い直す工程を加える。,view from aboveは諸刃。感情に含まれる正当なシグナル（Day3）まで蒸発させるリスクがある。感情を消す装置ではなく、距離を取って観察可能にする装置として使う。また怒りのピークでは俯瞰を司る前頭前野が落ちるため、渦中で壮大さを描くにはトリガーとの併用が要る。
46,46184,Claude Fableが最高で今までにない景色を見せてくれる。だからルーティンそっちのけでやりたくなる衝動、やらなくちゃいけない感覚が湧き、これが生きてる実感だと感じる。でもルーティンは基本的によりよく生きていくためにするもので、それを妨げるほど強い感情が起きたときに「いまここを生きる実感」が湧く。この2つの「生きる」は同じ言葉だが中身が違う。,「生きる」という一語に、瞬間的・没入的な実感（A）と、継続的・設計的な「よりよく生きる」（B）という異質な二つが同居し、しばしば衝突することを嗅ぎ当てたから。生きる実感が、よく生きる設計を裏切るという逆説。,zoē/bios／エネルゲイア vs キーネーシス（アリストテレス）／durée（Day32）／フロー（エントリ42）／natality・労働/仕事/活動（アーレント）／having vs being（Day10）／eudaimonia（Day27）,「AかBか」ではなく、AとBが一致する活動（エネルゲイアとキーネーシスが重なる＝天職的な活動）をどれだけ増やせるかを問う。引っかかり日記自体がその候補。衝動(A)に乗るとき、それが誕生性(natality)か単なる先延ばしかを見分ける。,B（設計・床）はA（衝動・跳躍）が来たとき全力で乗れる土台。床が固いほど高く跳べる（エントリ42と同型）。ただしAの無条件礼賛はサボりの正当化になりうる。新米パパとして、Aに乗る自由がB（生活の土台）を誰かに支えられて成り立っていないかの視点も要る。
47,46185,人はころっと変わる。「あの人こう言ってた、こんな態度だった、だから自分をこう思ってるのでは、誤解されてたら嫌だ、気まずい」と考えてしまうが、それが自分の行動を制限する方に傾くならやめたほうがいい。他者の考えは大半見えず、隠して演じている場合もあるので信じ切ってはいけない。ただ会う前の予測は大事で、それが会話が盛り上がる・関係が続くなど自分の目的に近づく手段であれば予測してもいい。結局は自分の思ったことを行動に移せるか、自信もって動けるかどうか。,「他者を考える/予測する」という同じ行為が、自分の行動を縛る方向（目的化）にも、進める方向（手段化）にも働くと見抜き、用途で線を引いたから。エントリ41の「家族のため＝燃料にもブレーキにも」と同型の発見。,一般化された他者（ミード）／鏡映自己（クーリー）／スポットライト効果（Gilovich & Savitsky）／課題の分離（アドラー）／narrative fallacy（Day7）／自分軸（Day38）／基準の不在（エントリ43）,着地を「自信もって動けるか」（精神論）でなく「他者予測を手段に留め目的化しないという運用ルール」に置き換える。予測する前に、その目的（関係が続く等）自体に「嫌われたくない」という他者軸が忍び込んでいないかを点検する。,スポットライト効果＝相手は自分が思うほど自分を見ていない。「人はころっと変わる」のも相手が態度を一貫して覚えていないからとも読める。「信じ切らない」健全な距離が、疲れたとき「信じない」シニシズムに転ぶ危うさに注意。距離は自分を守るためで他者を見下すためではない。
48,46186,AIが日々便利になり、触りたくなって触るうちに学び、もっともっとと探究している。その中で「AIは自分のアイデアを広げて形にするものとして使いたい」という自分ルールができた。ルーティンのシステム化や、やりたくない業務を任せる効率化は仕事の時間・事務所・大きいPCでやること。土日のドライブ中や息子を抱っこしているときは効率化より創造性に特化したい。早速ゲームを作り、息子の成長日記アプリのプロジェクトが勝手に動き出した。0→1は人間が担いたい。ユニークでAIなしには形にできない領域ほどAI時代の醍醐味。毎日楽しい。,「効率化」と「創造性」というAIの二つの使い方を、抽象論で終わらせず、場所と時間（事務所/土日、PC/抱っこ）という身体の置き場所で物理的に切り分けたから。エントリ46のキーネーシス/エネルゲイアの生活実装。,自己決定理論の有能感・自律性（デシ＆ライアン）／コンストラクショニズム（パパート1980）／0→1=人間・1→N=AI／好奇心駆動キャリア理論の左右／having vs being（Day10）／エネルゲイア vs キーネーシス（エントリ46）,モードを場所で固定しすぎず、創造に必要な地味な効率作業に出会ったら切り替えられる柔軟さを持つ。「0→1は人間が担いたい」を「AIにはできない（事実）」でなく「自分が手放したくない（価値選択）」として握る。,コンストラクショニズム（作りながら学ぶ）は自分のキープオンラーニングの思想的先祖。AIなしに形にできない領域ほど醍醐味、という直感は「0が尖るほど1→Nが活きる」人間とAIの役割分担。検品点：創造の素材として息子の時間を使うのと、息子との時間そのものを生きるのが、裏切り合う瞬間がないか。
49,46187,AIコーディングに夢中になり楽しんでいる。これはアテンションエコノミー、注意を引く要素があり、SNSも同じ。ただ自分はAIでものづくりをすることに意味を感じ積極的にやるが、SNSを見ることに意味はあるのか。同じ注意を引く存在でも、意味があるフローは違うのでは。意味あるフローと、没頭ではなく時間を吸われる感覚。その違いは自分で作り出すか否かではないか。ではフローが意味につながるとはどういうことか、先人はどう説明しているか知りたい。,AIコーディングとSNSという、表面上は同じ「注意を引く没入」を、終わったあとの後味（夢中／吸われる）の違いから引き剥がし、その境界を言語化しようとしたから。ここ数日の「没入の解剖」シリーズの結晶。,フローは必ずしも善ではない・複雑性(チクセントミハイ)／能動vs受動(フロム)／autotelic vs exotelic／変動報酬(SNS設計)／報酬予測誤差(エントリ44)／エネルゲイア(エントリ46)／having vs being(Day10),違いを「作る/受け取る」でなく「主導権が自分にあるか」で見る。良質な受動（読書・鑑賞）を切り捨てない。AIコーディング自体にも変動報酬の罠（終わりなき微調整）が紛れ込むので、活動の種類でなく「その瞬間、自分が主人か従属か」で判定する。,フローが意味につながるのは、その没入が①自分を複雑化・成長させ②内側から何かを生み出し③自分がその時間の主人であるとき。SNSは変動報酬で設計者が点火するフローゆえ「吸われる」。違いは集中の有無でなく主導権の所在。
50,46189,みせるばやおの8年総会に参加したが正直つまらなかった。理由は3つ：①儀礼的な話を聞くだけの会、②8年の内輪のノリが多く新入会員によそ者感、③子どもの次世代の学びではなく企業価値向上が目的と察した。必ずしも悪いとは言わないが、自分がそこに属してキャリアを創るべきかと問うと今は保留。自分やキープオンの商品サービスを高めたい。ただ顧客接点がキープオンの弱みでもあり、外に出て会話する機会は必要だが、1人（気の知れた仲間含む）が居心地よく生産性も高い。商品サービスを見直し、範囲が狭くても深く刺さるよう設計し直そうと考え、そういう意味ではいい時間になった。,「つまらなかった」を愚痴で終わらせず、①なぜつまらないか3つに分解、②キャリアの意思決定素材に変換、③自分の戦略を「狭く深く」に再確認、という三段の掘削をやり切ったから。つまらない体験を自分の戦略を映す鏡として使い切った。,Focus Strategy（ポーター）／弱い紐帯の強さ（グラノヴェッター）／WHYから始めよ（シネック）／嫌悪は価値観の照明（Day3）／Deep Work（Day23）／Marketing Myopia（Day28）,「狭く深く」を磨く設計と、「深く刺さっているか」を検証する接点を分けて持つ。弱い紐帯を「誰かれかまわず」でなく、自分のWHYと合う場で確保する方法を探す。「1人でええやん」が本音の選択か回避かを、その都度検品する。,違和感の正体はWHYレベルの不一致（企業価値向上 vs 子どもの学び・自律）。ただし「つまらない」は場の問題だけでなく「受け取る側にいた自分」も作っている。事業ステージが変わると同じ「1人で深く」の意味が変わる（立ち上げ期の研ぎ澄まし vs 拡張期の天井）。
51,2026/6/18 (木),予測したとおりにいかないことのほうが多いのは当たり前。予測したこと以外のことの方が多いから。だから世界は面白い。予測する意味があるのかと問うと、自分の中にないものをひねり出すためにある。予測できないことが起こった時、それは今後のアイデアにつながる。息子が熱を出して急遽帰宅し妻と病院へ。愛おしさと心配が同時にあり、大事に至らなかったからこそ、この日々がかけがえないと感じた。予測できないことや新しい気づき・発見を1日1日積み重ねることが、自分にとって生きている実感。,予測の価値を「当てること」から「自分の中にないものの輪郭を浮かび上がらせること」へ反転させた。Day32の予定不調和、Day44の報酬予測誤差を包括する上位構造。Peirceのabduction（驚きから仮説を生む推論）と一致し、予測→外れ→新しい仮説という知的サイクルが引っかかり日記そのものの機構になっている。息子の発熱という予測不可能な出来事が、理論を語った同じ日に体験として到来し、「生きている実感＝日々の予測不可能性の蓄積」という命題を身体で裏づけた。Talebのantifragilityで言えば、予測できないことで壊れるのではなくむしろ豊かになるシステムとして自分を設計している。揺さぶり：予測不可能性を礼賛しすぎると、ルーティンの中にある豊かさを見落とすリスク（Day46のエネルゲイア/キーネーシスの床）。また「自分の中にないものをひねり出す」にはまず自分の中にあるものを言語化する必要があり、引っかかり日記は予測不可能性を待つ装置ではなく自分のフレームを可視化して外側を感知可能にする装置。,abduction（Peirce）/ antifragility（Taleb）/ 予定不調和（Day32-33）/ 報酬予測誤差（Day44）/ durée（Bergson）/ エネルゲイア（Day46）/ planned happenstance（Krumboltz）/ 動的平衡（Day42）,(a)「今日の予測」を朝に1行書き、夜に「予測の外に何があったか」を記録する実験を1週間——予測を当てるためでなく自分のフレームの輪郭を浮かべるため (b)引っかかり日記を「予測不可能な出来事の記録」ではなく「自分のフレームが可視化された瞬間の記録」として再定義し、見え方が変わるか観察する (c)息子の発熱のような日常の中断を、家族との会話素材にする,Day32（予定不調和）→Day44（予測とドーパミン）→Day51（予測の目的の反転）と、予測をめぐる思考が3段階で深化。Day32は態度、Day44は脳内メカニズム、今日は目的の再定義。予測不可能性を「生きている実感」と結びつけた点はDay46のエネルゲイア・Day27のeudaimoniaの最新形。ただし息子の熱が「大事に至らなかった」からこそ書ける文章であることに自覚的でありたい——本当の危機は美しい言語化を許さない。
52,2026/6/19 (金),友達の誕生日を祝ったら「32歳なんて嬉しない！身体痛いし白髪見えるし歳なんか取りたくない！」と返された。冗談交じりだろうが、相手が聞いてもいい気分にならない嘆きって必要か？理想と現実を比べて嘆き、周りと共感するパターンが日本社会に蔓延っている。自分はそういう話題が好きじゃないしプラスにならない。課題解決思考でいきたいし、モヤモヤのまま答えが出なくても前を向いていたい。これは心が強いからか？いや技術の問題だと思う。メンタルは技術、そしてメタ認知。,嘆きへの違和感がDay3の「嫌悪は価値観の照明」として機能し、自分のコアバリュー（前進・課題解決・メタ認知）を浮かび上がらせた。Amanda Roseのco-rumination（共反芻）研究では、嘆きの共有は親密さを上げるが抑うつも上げる二重効果が実証されている。将一郎さんが「プラスにならない」と感じたのは接着剤機能を必要としていないから。Malinowskiのphatic communion（交感的言語）で言えば、友達の自虐は情報伝達ではなく関係確認の発話かもしれない。「技術やと思う」の着地はNeffのself-compassion研究と一致——自己慈悲は性格ではなく訓練可能な技術。揺さぶり：土井健郎の甘えの構造で、弱みを見せるのは信頼表明でもある。嘆きを「スキル不足」と切ると、Day5のコルチャック的視座（その人はその人の方法で世界を処理している）と衝突する。課題解決思考を嘆きの場面に持ち込むと「聞いてほしかっただけ」という相手のニーズを踏む——Day29のempathy vs rational compassionの実戦版。,co-rumination（Rose）/ phatic communion（Malinowski）/ self-compassion vs self-pity（Neff）/ 甘え（土井健郎）/ 嫌悪は価値観の照明（Day3）/ empathy vs rational compassion（Day29）/ メタ認知 / 課題の分離（Day47）,(a)嘆きが来たとき「これは交感的発話（場の共有）か、本当の訴えか」を一瞬で見分ける練習をする (b)自分が嘆きを好まない理由を「プラスにならないから」で止めず、相手の使い方（信頼表明・処理方法）も含めて観察する (c)「メンタルは技術」をCLAFTやYononakaで伝えるとき、技術を持たない人を裁かないフレーミングを設計する (d)メタ認知を「嘆かない技術」としてではなく「嘆いている自分に気づいたあと何をするかの技術」として定義し直す,Day3（嫌悪は照明）→Day29（共感の質）→Day38（心が動くかの自分軸）→Day52（嘆きへの線引き）と、他者の感情表現への向き合い方が精緻化されてきた。「心が強いからか？いや技術」の一言にDay38以降の蓄積が凝縮されている。ただし「技術」の枠組みは、持つ者と持たない者の非対称を生むリスクがある。教育者としての将一郎さんは、嘆く人を「まだ技術がない人」ではなく「別の処理方法を使っている人」として見る視座も持っておきたい。
